year,month,day,Tmax
1991.0,1.0,30.0,39.5
1991.0,2.0,17.0,39.5
1991.0,2.0,22.0,39.5
1991.0,2.0,23.0,41.4
1991.0,3.0,10.0,40.0
1992.0,2.0,20.0,39.6
1992.0,2.0,22.0,41.4
1992.0,2.0,23.0,40.0
1992.0,3.0,10.0,39.5
1992.0,3.0,12.0,39.6
1992.0,3.0,14.0,39.8
1992.0,3.0,15.0,40.5
1992.0,3.0,17.0,39.6
1992.0,3.0,18.0,39.6
1992.0,3.0,27.0,39.6
1992.0,3.0,29.0,40.0
1992.0,3.0,31.0,39.9
1992.0,4.0,3.0,39.5
1992.0,4.0,27.0,40.5
1993.0,2.0,27.0,40.0
1993.0,3.0,4.0,40.2
1993.0,3.0,5.0,40.0
1993.0,3.0,17.0,40.0
1993.0,4.0,10.0,40.0
1993.0,4.0,11.0,40.6
1993.0,4.0,12.0,40.6
1993.0,4.0,13.0,39.5
1993.0,4.0,16.0,40.5
1994.0,3.0,1.0,40.0
1994.0,3.0,6.0,39.5
1994.0,3.0,7.0,40.5
1994.0,3.0,12.0,39.9
1994.0,3.0,17.0,40.5
1994.0,3.0,18.0,40.1
1994.0,3.0,19.0,39.6
1994.0,3.0,20.0,40.3
1994.0,3.0,24.0,39.5
1994.0,3.0,25.0,40.1
1994.0,3.0,28.0,39.6
1994.0,3.0,29.0,39.5
1994.0,3.0,30.0,39.5
1994.0,3.0,31.0,40.5
1994.0,4.0,1.0,39.5
1994.0,4.0,10.0,39.6
1994.0,4.0,12.0,39.6
1995.0,2.0,26.0,39.6
1995.0,2.0,27.0,39.5
1995.0,2.0,28.0,39.6
1995.0,3.0,2.0,40.2
1995.0,3.0,5.0,40.4
1995.0,3.0,6.0,40.2
1995.0,3.0,8.0,40.5
1995.0,3.0,9.0,39.5
1995.0,3.0,16.0,40.0
1995.0,4.0,2.0,40.3
1996.0,1.0,28.0,40.1
1996.0,2.0,6.0,40.0
1996.0,2.0,17.0,39.5
1996.0,2.0,23.0,39.8
1996.0,2.0,24.0,40.5
1996.0,2.0,26.0,39.6
1996.0,3.0,13.0,39.7
1996.0,3.0,16.0,39.6
1996.0,3.0,17.0,40.5
1996.0,3.0,19.0,40.2
1996.0,3.0,21.0,40.0
1996.0,3.0,22.0,40.4
1996.0,3.0,27.0,40.3
1996.0,3.0,28.0,39.5
1996.0,4.0,1.0,39.9
1996.0,4.0,5.0,39.5
1996.0,5.0,7.0,39.5
1997.0,3.0,11.0,39.6
1997.0,3.0,12.0,39.7
1997.0,3.0,13.0,39.5
1997.0,3.0,16.0,40.4
1997.0,3.0,18.0,39.8
1997.0,3.0,19.0,40.3
1997.0,3.0,20.0,40.4
1997.0,3.0,21.0,40.6
1997.0,3.0,25.0,40.5
1998.0,1.0,28.0,40.0
1998.0,1.0,29.0,39.9
1998.0,2.0,1.0,39.9
1998.0,2.0,2.0,40.1
1998.0,2.0,3.0,40.7
1998.0,2.0,4.0,41.2
1998.0,2.0,5.0,41.4
1998.0,2.0,6.0,41.2
1998.0,2.0,7.0,41.5
1998.0,2.0,8.0,42.2
1998.0,2.0,10.0,40.6
1998.0,2.0,20.0,39.6
1998.0,2.0,26.0,39.6
1998.0,2.0,27.0,40.1
1998.0,2.0,28.0,41.0
1998.0,3.0,1.0,41.0
1998.0,3.0,2.0,40.3
1998.0,3.0,11.0,39.5
1998.0,3.0,12.0,40.0
1998.0,3.0,13.0,41.0
1998.0,3.0,14.0,40.1
1998.0,3.0,16.0,39.7
1998.0,3.0,17.0,39.8
1998.0,3.0,18.0,39.8
1998.0,3.0,19.0,40.4
1998.0,3.0,20.0,39.7
1998.0,3.0,21.0,40.1
1998.0,3.0,22.0,41.1
1998.0,3.0,23.0,42.1
1998.0,3.0,24.0,42.0
1998.0,3.0,25.0,41.6
1998.0,3.0,26.0,41.6
1998.0,3.0,27.0,42.0
1998.0,3.0,28.0,41.6
1998.0,3.0,29.0,39.6
1998.0,3.0,30.0,40.2
1998.0,4.0,1.0,41.5
1998.0,4.0,2.0,41.5
1998.0,4.0,3.0,41.6
1998.0,4.0,4.0,41.0
1998.0,4.0,5.0,40.3
1998.0,4.0,6.0,40.8
1998.0,4.0,7.0,39.6
1998.0,4.0,9.0,41.4
1998.0,4.0,11.0,40.2
1998.0,4.0,16.0,40.2
1998.0,4.0,18.0,39.5
1998.0,4.0,26.0,39.7
1999.0,2.0,26.0,39.6
1999.0,2.0,27.0,40.2
1999.0,3.0,3.0,40.0
1999.0,3.0,12.0,39.6
1999.0,3.0,15.0,39.5
1999.0,3.0,17.0,41.8
1999.0,3.0,19.0,39.6
1999.0,3.0,20.0,40.5
1999.0,3.0,21.0,40.7
1999.0,3.0,22.0,40.0
1999.0,3.0,23.0,40.3
1999.0,3.0,24.0,40.0
1999.0,3.0,26.0,39.5
1999.0,3.0,27.0,39.5
1999.0,3.0,31.0,39.5
1999.0,4.0,3.0,40.3
1999.0,4.0,4.0,39.8
1999.0,4.0,5.0,39.6
1999.0,4.0,11.0,39.6
2000.0,2.0,24.0,40.0
2000.0,2.0,25.0,40.1
2000.0,2.0,26.0,39.6
2000.0,3.0,5.0,41.0
2000.0,3.0,6.0,39.7
2000.0,3.0,7.0,40.4
2000.0,3.0,8.0,40.4
2000.0,3.0,12.0,39.5
2000.0,3.0,13.0,39.5
2000.0,3.0,14.0,39.5
2000.0,3.0,17.0,39.6
2000.0,3.0,24.0,39.6
2000.0,3.0,30.0,40.4
2000.0,4.0,1.0,39.7
2000.0,4.0,9.0,39.9
2001.0,2.0,1.0,39.5
2001.0,2.0,20.0,40.0
2001.0,2.0,21.0,39.5
2001.0,2.0,22.0,39.5
2001.0,2.0,26.0,39.8
2001.0,2.0,27.0,40.4
2001.0,2.0,28.0,40.2
2001.0,3.0,1.0,39.5
2001.0,3.0,2.0,40.5
2001.0,3.0,3.0,41.5
2001.0,3.0,4.0,40.3
2001.0,3.0,5.0,39.9
2001.0,3.0,6.0,41.0
2001.0,3.0,7.0,39.5
2001.0,3.0,9.0,39.7
2001.0,3.0,10.0,39.5
2001.0,3.0,12.0,39.5
2001.0,3.0,13.0,39.5
2001.0,3.0,16.0,40.0
2001.0,3.0,19.0,39.6
2001.0,3.0,20.0,39.7
2001.0,3.0,21.0,41.5
2001.0,3.0,22.0,39.5
2001.0,3.0,23.0,40.1
2001.0,3.0,24.0,39.5
2001.0,3.0,25.0,40.3
2001.0,3.0,27.0,40.5
2001.0,3.0,28.0,40.2
2001.0,3.0,29.0,39.5
2001.0,3.0,31.0,39.5
2001.0,4.0,7.0,40.0
2001.0,4.0,8.0,40.0
2001.0,4.0,9.0,40.5
2001.0,4.0,10.0,41.0
2001.0,4.0,11.0,41.0
2001.0,4.0,12.0,39.5
2002.0,2.0,19.0,40.2
2002.0,2.0,22.0,39.6
2002.0,2.0,23.0,39.9
2002.0,2.0,24.0,41.2
2002.0,2.0,25.0,40.0
2002.0,2.0,27.0,39.8
2002.0,3.0,5.0,39.8
2002.0,3.0,6.0,39.5
2002.0,3.0,7.0,40.4
2002.0,3.0,13.0,41.8
2002.0,3.0,31.0,40.0
2002.0,4.0,1.0,41.0
2003.0,2.0,2.0,39.6
2003.0,2.0,3.0,41.0
2003.0,2.0,4.0,40.9
2003.0,2.0,7.0,39.5
2003.0,2.0,8.0,39.7
2003.0,2.0,16.0,39.5
2003.0,2.0,19.0,39.7
2003.0,2.0,20.0,40.0
2003.0,2.0,23.0,39.5
2003.0,2.0,28.0,39.5
2003.0,3.0,2.0,39.6
2003.0,3.0,3.0,39.7
2003.0,3.0,7.0,39.6
2003.0,3.0,8.0,40.0
2003.0,3.0,9.0,40.0
2003.0,3.0,12.0,39.5
2003.0,3.0,16.0,40.2
2003.0,3.0,17.0,40.2
2003.0,3.0,18.0,41.3
2003.0,3.0,19.0,40.5
2003.0,3.0,25.0,39.5
2003.0,3.0,26.0,39.8
2003.0,3.0,28.0,40.0
2003.0,3.0,31.0,40.6
2003.0,4.0,1.0,40.4
2003.0,4.0,2.0,40.0
2003.0,4.0,5.0,40.0
2004.0,3.0,15.0,39.7
2004.0,3.0,25.0,40.5
2004.0,3.0,26.0,40.8
2004.0,3.0,27.0,39.8
2004.0,3.0,28.0,39.6
2004.0,4.0,17.0,39.8
2005.0,2.0,11.0,40.0
2005.0,2.0,12.0,39.6
2005.0,2.0,23.0,40.5
2005.0,2.0,24.0,39.6
2005.0,3.0,5.0,39.5
2005.0,3.0,8.0,40.0
2005.0,3.0,9.0,40.8
2005.0,3.0,10.0,39.5
2005.0,3.0,11.0,40.0
2005.0,3.0,16.0,41.0
2005.0,3.0,22.0,40.0
2005.0,3.0,29.0,40.0
2005.0,3.0,30.0,39.6
2005.0,4.0,7.0,39.6
2005.0,4.0,16.0,39.8
2006.0,2.0,8.0,40.0
2006.0,2.0,24.0,39.5
2006.0,2.0,26.0,40.2
2006.0,2.0,27.0,40.6
2006.0,3.0,1.0,40.2
2006.0,3.0,2.0,39.5
2006.0,3.0,3.0,40.2
2006.0,3.0,4.0,40.5
2006.0,3.0,5.0,40.1
2006.0,3.0,6.0,40.0
2006.0,3.0,14.0,39.5
2006.0,3.0,16.0,39.5
2006.0,3.0,20.0,40.5
2006.0,3.0,21.0,40.5
2006.0,3.0,23.0,40.8
2006.0,3.0,24.0,40.5
2006.0,3.0,25.0,40.2
2006.0,3.0,26.0,39.6
2006.0,3.0,30.0,39.5
2006.0,4.0,1.0,40.6
2006.0,4.0,2.0,41.0
2006.0,4.0,3.0,39.8
2006.0,4.0,6.0,40.0
2006.0,4.0,7.0,40.1
2006.0,4.0,8.0,40.7
2006.0,4.0,9.0,39.96
2006.0,4.0,11.0,39.46
2006.0,4.0,12.0,40.31
2006.0,4.0,13.0,39.7
2006.0,4.0,17.0,39.5
2007.0,1.0,27.0,39.7
2007.0,2.0,7.0,39.6
2007.0,2.0,12.0,39.5
2007.0,2.0,20.0,39.7
2007.0,2.0,21.0,39.6
2007.0,3.0,5.0,40.2
2007.0,3.0,6.0,40.3
2007.0,3.0,7.0,40.1
2007.0,3.0,9.0,39.5
2007.0,3.0,14.0,39.6
2007.0,3.0,15.0,39.7
2007.0,3.0,17.0,39.7
2007.0,3.0,20.0,40.3
2007.0,3.0,21.0,40.6
2007.0,3.0,28.0,40.3
2007.0,3.0,29.0,40.0
2008.0,2.0,24.0,39.7
2008.0,2.0,28.0,40.1
2008.0,3.0,1.0,40.0
2008.0,3.0,3.0,39.7
2008.0,3.0,4.0,40.5
2008.0,3.0,6.0,40.2
2008.0,3.0,7.0,40.2
2008.0,3.0,9.0,40.0
2008.0,3.0,26.0,40.4
2008.0,4.0,12.0,39.7
2008.0,4.0,13.0,39.8
2008.0,4.0,19.0,40.0
2008.0,5.0,7.0,39.9
2009.0,2.0,6.0,40.1
2009.0,2.0,21.0,39.9
2009.0,2.0,23.0,39.8
2009.0,3.0,1.0,39.8
2009.0,3.0,2.0,39.8
2009.0,3.0,4.0,40.1
